source_lemma,target_lemma,total,agreement,train_breaks_gold_eq_source,per_corpus_consistent,applied,in_manual_17,corpora,example_forms,gold_distribution,ODLUKA,NAPOMENA
milos,miloš,3,1.0,0,True,False,False,ReLDI_train:3,milos,miloš:3,da,dijakritika (Miloš)
siriti,širiti,3,1.0,0,True,False,False,ReLDI_train:3,siri sire,širiti:3,ne,'siriti' je legitiman glagol (siriti mleko)
izaslati,izaći,3,1.0,0,True,False,False,ReLDI_train:3,izasla,izaći:3,ne,'izaslati' je rečnički glagol (up. izaslanik); meta izaći je druga leksema
kolja,klati,3,1.0,0,True,False,False,ReLDI_train:2; SrpKor_train:1,kolje kolju,klati:3,ne,Kolja je ime/nadimak
dada,dado,3,1.0,0,True,False,False,ReLDI_train:2; SrpKor_train:1,dado dadom,dado:3,ne,'dada' je lema (dadaizam) i čest nadimak Dada
strastan,strašan,3,1.0,0,True,False,False,ReLDI_train:3,strasno strasna,strašan:3,ne,'strastan' je legitiman čest pridev (=strastven); meta strašan je druga leksema
lava,lav,3,1.0,0,True,False,False,ReLDI_train:1; SrpKor_train:2,lave lavi lava,lav:3,ne,'lava' je obična imenica (vulkanska lava)
mlrd,milijarda,3,1.0,0,True,False,False,ReLDI_train:3,mlrd,milijarda:3,ne,skraćenica - konvencije lematizacije skraćenica nisu ujednačene među korpusima (up. min -> min.)
hut,huti,3,1.0,0,True,False,False,ReLDI_train:3,huta huti,huti:3,da,gold jednoglasno huti (Huti/Housi); 'hut' nije ustaljena srpska lema
cipov,čip,3,1.0,0,True,False,False,ReLDI_train:3,cipovi,čip:3,da,ne postoji (čipovi -> čip)
zasnovano,zasnovati,3,1.0,0,True,False,False,SrpKor_train:3,zasnovano,zasnovati:3,da,particip -> infinitiv
ograničavajući,ograničavati,3,1.0,0,True,False,False,SrpKor_train:3,ograničavajući,ograničavati:3,da,glagolski prilog -> infinitiv
belic,belica,3,1.0,0,True,False,False,SrpKor_train:3,belica,belica:3,da,nije lema (Belić ima ć; gold je belica)
opovrći,opovrgnuti,3,1.0,0,True,False,False,SrpKor_train:3,opovrgne opovrgnu,opovrgnuti:3,da,varijantni infinitiv iste lekseme (opovrgnuti)
uvet,uvo,3,1.0,0,True,False,False,SrpKor_train:3,uveta uvetom,uvo:3,da,ekavizovani kroatizam (uvjet); nije srpska lema - ovde padeži od uvo
ćuteći,ćutati,3,1.0,0,True,False,False,SrpKor_train:3,ćuteći,ćutati:3,da,glagolski prilog -> infinitiv
gustin,gustina,3,1.0,0,True,False,False,SrpKor_train:3,gustinu gustina gustine,gustina:3,ne,'gustin' je uobičajen kulinarski naziv (skrob) - legitimna lema
izvršni,izvršan,3,1.0,0,True,False,False,SrpKor_train:3,izvršni,izvršan:3,da,"gold jednoglasno izvršan, 0 breaks"
podleći,podlegnuti,3,1.0,0,True,False,False,SrpKor_train:3,podlegne podlegli,podlegnuti:3,da,varijantni infinitiv iste lekseme (podlegnuti)
proglašeno,proglasiti,3,1.0,0,True,False,False,SrpKor_train:3,proglašeno,proglasiti:3,da,particip -> infinitiv
stažist,stažista,3,1.0,0,True,False,False,SrpKor_train:3,stažista,stažista:3,da,kroatizam -ist -> srpski -ista
postavljeno,postaviti,3,1.0,0,True,False,False,SrpKor_train:3,postavljeno,postaviti:3,da,particip -> infinitiv
temama,tema,3,1.0,0,True,False,False,SrpKor_train:3,temama,tema:3,da,"padežni artefakt (dat/instr.mn.), nije lema"
čeličan,čelični,3,1.0,0,True,False,False,SrpKor_train:3,čeličnih čeličnim,čelični:3,da,odnosni pridev; gold jednoglasno čelični
kuka,kuk,3,1.0,0,True,False,False,SrpKor_train:3,kuka,kuk:3,ne,'kuka' je obična imenica
diferencirati,diferenciran,3,1.0,0,True,False,False,SrpKor_train:3,diferencirani diferencirane,diferenciran:3,ne,legitiman glagol; smer infinitiv -> particip
ugovornik,ugovornica,3,1.0,0,True,False,False,SrpKor_train:3,ugovornici,ugovornica:3,ne,'ugovornik' je legitiman pravni termin
akreditovati,akreditovan,3,1.0,0,True,False,False,SrpKor_train:3,akreditovanih akreditovanu akreditovanog,akreditovan:3,ne,legitiman glagol; smer infinitiv -> particip
srednjoročni,srednjoročan,3,1.0,0,True,False,False,SrpKor_train:3,srednjoročnom srednjoročna,srednjoročan:3,da,gold jednoglasno srednjoročan
europa,europe,3,1.0,0,True,False,False,SrpKor_train:3,europe,europe:3,ne,'Europa' je legitimna lema (Jupiterov mesec; hrv. Europa); meta 'europe' sumnjiva kao lema
prvostepen,prvostepeni,3,1.0,0,True,False,False,SrpKor_train:3,prvostepenom prvostepeni prvostepenog,prvostepeni:3,da,odnosni pridev; gold jednoglasno prvostepeni
toplice,toplica,3,1.0,0,True,False,False,SrpKor_train:3,toplica,toplica:3,ne,'toplice' je pluralia tantum rečnička lema; plus toponimi (Toplice)
venerični,venerican,3,1.0,0,True,False,False,SrpKor_train:3,venerične veneričnim,venerican:3,ne,"meta 'venerican' je iskrivljena (treba 'veneričan') - šum u gold anotaciji, ne instalirati grešku"
nelica,nelice,3,1.0,0,True,False,False,SrpKor_train:3,nelica,nelice:3,ne,Nelica je žensko ime/nadimak; meta 'nelice' sumnjiva kao lema
